frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
24,1,[647.5255126953125 1521.5987548828125 1402.09423828125 2154.30712890625],car,[868.7561645507812 1969.713623046875 1176.0147705078125 2049.220947265625],0.629849910736084,NA13NRU,0.9383005449349527
24,2,[2178.19873046875 1264.3814697265625 2871.27490234375 1888.367431640625],car,[2428.100341796875 1711.0806884765625 2621.453125 1771.0338134765625],0.5175758004188538,MSISV,0.26902185428807046
25,1,[644.3956909179688 1528.112060546875 1402.1119384765625 2152.514404296875],car,[868.948974609375 1975.7860107421875 1171.9134521484375 2052.951416015625],0.7487006783485413,NA13NRU,0.40067551863707523
25,2,[2178.536865234375 1268.12841796875 2872.320556640625 1892.8507080078125],car,[2434.09765625 1719.465087890625 2619.506103515625 1777.272216796875],0.7438095211982727,MSV,0.3491889390129622
26,1,[638.92431640625 1532.2314453125 1401.1600341796875 2153.901123046875],car,[873.8772583007812 1987.874267578125 1161.532958984375 2063.71435546875],0.749588131904602,NA13NRV,0.46706410210928645
26,2,[2180.058837890625 1271.404052734375 2876.331298828125 1901.842041015625],car,[2440.62255859375 1727.689453125 2618.237060546875 1780.738037109375],0.7231190800666809,MIGV,0.12010607123374939
27,2,[2182.384521484375 1279.54931640625 2876.527587890625 1910.6947021484375],car,[2442.471435546875 1732.6307373046875 2620.9736328125 1788.1688232421875],0.7911369204521179,NTSEV,0.10704984855658865
27,1,[636.7771606445312 1542.3304443359375 1399.460693359375 2153.13818359375],car,[871.3485717773438 2000.468994140625 1160.718017578125 2070.681884765625],0.6448541879653931,NA13NRU,0.5775615283954381
28,2,[2183.190673828125 1283.57373046875 2878.671630859375 1917.145263671875],car,[2446.8515625 1738.248779296875 2623.15283203125 1794.1417236328125],0.7667690515518188,MTIEV,0.08487041339344006
28,1,[633.4931030273438 1549.1346435546875 1398.5611572265625 2152.24609375],car,[880.1392822265625 2007.077392578125 1162.5732421875 2074.53662109375],0.39706847071647644,NA13MRU,0.2771241732363922
29,2,[2183.5537109375 1293.0574951171875 2881.55126953125 1925.5499267578125],car,[2449.1015625 1745.707763671875 2627.332763671875 1803.062255859375],0.8219709396362305,MZIUEV,0.008147319925012927
29,1,[625.923583984375 1560.0821533203125 1397.289794921875 2154.127685546875],car,[834.2938842773438 2008.0740966796875 1133.5430908203125 2087.097900390625],0.6717494130134583,WA13MRU,0.25029674309193123
29,3,[1152.87939453125 1097.0516357421875 1747.06005859375 1537.877197265625],car,[1345.2060546875 1352.44091796875 1544.3416748046875 1433.3621826171875],0.604441225528717,GRISOG],0.3734321305719875
30,2,[2183.9326171875 1296.671142578125 2884.48486328125 1934.6470947265625],car,[2450.061279296875 1751.0201416015625 2632.55712890625 1810.1947021484375],0.8310798406600952,ISISW,0.07585140825493811
30,1,[620.03271484375 1566.8702392578125 1396.0594482421875 2153.500732421875],car,[855.126708984375 2028.6357421875 1139.1263427734375 2100.7568359375],0.7256041169166565,NAI3JNRU,0.2522224340512617
31,2,[2183.716796875 1300.095703125 2885.874755859375 1939.041259765625],car,[2449.26123046875 1755.5643310546875 2631.876708984375 1813.9112548828125],0.8375298976898193,ISINSV,0.049121669340940935
31,1,[617.7111206054688 1571.0186767578125 1395.9075927734375 2152.445068359375],car,[845.3609619140625 2033.7418212890625 1132.364501953125 2106.71875],0.552706241607666,NA13NRU,0.20983746026607203
32,2,[2184.72705078125 1308.3995361328125 2887.779052734375 1949.1658935546875],car,[2449.927490234375 1770.039306640625 2631.405517578125 1824.1495361328125],0.7502788305282593,MIVEV,0.07399348853019476
32,1,[615.417724609375 1578.57666015625 1391.5126953125 2152.273193359375],car,[805.1044921875 2041.2652587890625 1129.4688720703125 2124.6015625],0.4793056547641754,NA13NRW,0.06013849177102094
33,2,[2184.486572265625 1316.4267578125 2893.512939453125 1957.1884765625],car,[2455.375732421875 1776.329345703125 2635.576416015625 1832.169921875],0.8149369955062866,WEISV,0.10914776760591127
33,1,[610.0723266601562 1583.4945068359375 1390.636474609375 2150.67578125],car,[809.3812866210938 2053.479736328125 1119.9202880859375 2133.303466796875],0.38418450951576233,MA13NRU,0.41850909608227654
34,2,[2185.0078125 1319.65185546875 2896.8720703125 1960.6221923828125],car,[2457.889892578125 1781.275634765625 2634.66796875 1836.261474609375],0.7682801485061646,LEISU,0.08162171326767113
35,2,[2185.794189453125 1322.4891357421875 2899.912841796875 1969.62548828125],car,[2458.611328125 1788.632080078125 2638.638427734375 1847.154052734375],0.8161393404006958,LSISU,0.08462657721423038
